Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,87.45,-171.9,180,top
C2,0.1uF,C_0805_2012Metric,91.12,-117.2134,180,top
C3,0.1uF,C_0805_2012Metric,126.7,-108.175,180,top
C4,0.1uF,C_0805_2012Metric,134.05,-108.35,180,top
C5,1uF,C_0805_2012Metric,81.675,-103.805,-90,top
C6,1uF,C_0805_2012Metric,81.65,-100.36,90,top
C7,220uF,C_1206_3216Metric,78.925,-149.175,180,top
C8,220uF,C_1206_3216Metric,78.925,-146.625,180,top
C9,220uF,C_1206_3216Metric,78.925,-144.075,180,top
C10,1uF,C_0805_2012Metric,89.925,-158.105,90,top
C11,0.01uF,C_0805_2012Metric,86.775,-154.755,0,top
C12,1uF,C_0805_2012Metric,83.825,-154.505,90,top
C13,220uF,C_1206_3216Metric,78.925,-161.425,180,top
C14,220uF,C_1206_3216Metric,78.925,-158.825,180,top
C15,220uF,C_1206_3216Metric,78.925,-156.225,180,top
C16,0.1uF,C_0805_2012Metric,77.6326,-111.9556,0,top
C17,0.1uF,C_0805_2012Metric,104.865,-158.35,-90,top
C18,10uF,C_0805_2012Metric,108.365,-158.35,-90,top
C19,0.1uF,C_0805_2012Metric,121.4,-159.8,180,top
D1,BAT54AW,SOT-323_SC-70,134.45,-137.015,180,top
D2,BAT54CW,SOT-323_SC-70,134.45,-139.765,180,top
D3,BAT54AW,SOT-323_SC-70,134.45,-142.515,180,top
D4,BAT54CW,SOT-323_SC-70,134.45,-145.265,180,top
D5,BAT54AW,SOT-323_SC-70,134.45,-148.015,180,top
D6,BAT54CW,SOT-323_SC-70,134.45,-150.765,180,top
D7,BAT54AW,SOT-323_SC-70,134.45,-153.515,180,top
D8,BAT54CW,SOT-323_SC-70,134.45,-156.265,180,top
D9,BAT54AW,SOT-323_SC-70,78.05,-122.985,0,top
D10,BAT54CW,SOT-323_SC-70,78.05,-125.79,0,top
D11,BAT54AW,SOT-323_SC-70,78.05,-128.595,0,top
D12,BAT54CW,SOT-323_SC-70,78.05,-131.4,0,top
Q1,MMBT4403LT1G,SOT-23-3,130.775,-142.5,0,top
Q2,MMBT4401LT1G,SOT-23-3,126.725,-142.5,0,top
Q3,MMBT4403LT1G,SOT-23-3,130.775,-138.575,0,top
Q4,MMBT4401LT1G,SOT-23-3,126.725,-138.55,0,top
Q5,MMBT4403LT1G,SOT-23-3,130.775,-134.625,0,top
Q6,MMBT4401LT1G,SOT-23-3,126.725,-134.6,0,top
Q7,MMBT4403LT1G,SOT-23-3,130.775,-130.675,0,top
Q8,MMBT4401LT1G,SOT-23-3,126.725,-130.65,0,top
Q9,MMBT4403LT1G,SOT-23-3,130.775,-126.725,0,top
Q10,MMBT4401LT1G,SOT-23-3,126.725,-126.7,0,top
Q11,MMBT4403LT1G,SOT-23-3,130.775,-122.775,0,top
Q12,MMBT4401LT1G,SOT-23-3,126.725,-122.75,0,top
Q13,MMBT4403LT1G,SOT-23-3,81.8,-123.325,180,top
Q14,MMBT4401LT1G,SOT-23-3,87,-123.325,180,top
Q15,MMBT4403LT1G,SOT-23-3,81.8,-127.3,180,top
Q16,MMBT4401LT1G,SOT-23-3,87,-127.3,180,top
Q17,MMBT4403LT1G,SOT-23-3,81.8,-131.275,180,top
Q18,MMBT4401LT1G,SOT-23-3,87,-131.275,180,top
Q19,MMBT4403LT1G,SOT-23-3,81.8,-135.25,180,top
Q20,MMBT4401LT1G,SOT-23-3,87,-135.25,180,top
Q21,Q_NMOS_DGS_AO3400A,SOT-23-3,89.65,-141.1,90,top
Q22,SL3401A,SOT-23-3,133.3,-105.25,0,top
Q23,SL3401A,SOT-23-3,122.9,-101,-90,top
R1,470,R_0805_2012Metric,122.975,-141.5,180,top
R2,470,R_0805_2012Metric,122.95,-143.5,180,top
R3,470,R_0805_2012Metric,122.975,-137.475,180,top
R4,470,R_0805_2012Metric,122.975,-139.475,180,top
R5,470,R_0805_2012Metric,122.95,-133.515,180,top
R6,470,R_0805_2012Metric,122.95,-135.515,180,top
R7,470,R_0805_2012Metric,122.95,-129.55,180,top
R8,470,R_0805_2012Metric,122.95,-131.5,180,top
R9,470,R_0805_2012Metric,122.95,-125.715,180,top
R10,470,R_0805_2012Metric,122.95,-127.65,180,top
R11,470,R_0805_2012Metric,122.95,-121.9,180,top
R12,470,R_0805_2012Metric,122.95,-123.8,180,top
R13,470,R_0805_2012Metric,92,-122.535,0,top
R14,470,R_0805_2012Metric,92,-124.458571,0,top
R15,470,R_0805_2012Metric,92,-126.382142,0,top
R16,470,R_0805_2012Metric,92,-128.305713,0,top
R17,470,R_0805_2012Metric,92,-130.229284,0,top
R18,470,R_0805_2012Metric,92,-132.152855,0,top
R19,470,R_0805_2012Metric,92,-134.076426,0,top
R20,470,R_0805_2012Metric,92,-135.999997,0,top
R21,6R8-1%,R_0805_2012Metric,134.45,-134.625,0,top
R22,6R8-1%,R_0805_2012Metric,134.45,-130.65,180,top
R23,6R8-1%,R_0805_2012Metric,134.45,-126.725,180,top
R24,6R8-1%,R_0805_2012Metric,134.45,-122.75,180,top
R25,6R8-1%,R_0805_2012Metric,78,-133.9,0,top
R26,6R8-1%,R_0805_2012Metric,78,-135.9,0,top
R27,10k,R_0805_2012Metric,89.65,-144.5,180,top
R28,470,R_0805_2012Metric,92.85,-144.8,90,top
R30,1K2,R_0805_2012Metric,78.355,-172.775,90,top
R31,1K2,R_0805_2012Metric,80.355,-172.775,90,top
R32,68,R_0805_2012Metric,93.995,-138.575,180,top
R33,68,R_0805_2012Metric,82.595,-138.925,0,top
R34,10K,R_0805_2012Metric,130.255,-171.605,180,top
R35,10K,R_0805_2012Metric,126.375,-171.625,180,top
R36,10k,R_0805_2012Metric,124.125,-105.205,-90,top
R37,10k,R_0805_2012Metric,122.175,-105.195,90,top
R38,10k,R_0805_2012Metric,126.05,-105.2,90,top
R44,10k,R_0805_2012Metric,129.1,-105.2,90,top
R45,10k,R_0805_2012Metric,93.805,-100.585,-90,top
R46,470,R_0805_2012Metric,77.277,-115.4354,-90,top
R47,1K5-1%,R_0805_2012Metric,94.615,-155.0375,90,top
R48,1K8-1%,R_0805_2012Metric,98.115,-151.1,-90,top
R49,11-1%,R_0805_2012Metric,98.115,-155.0375,-90,top
R50,1K5-1%,R_0805_2012Metric,98.115,-159.1,-90,top
R51,1K8-1%,R_0805_2012Metric,101.615,-151.1,-90,top
R52,11-1%,R_0805_2012Metric,101.615,-155.1,90,top
R53,1K5-1%,R_0805_2012Metric,101.615,-159.1,-90,top
R54,1K2,R_0805_2012Metric,113.1,-151.4,-90,top
R55,1K2,R_0805_2012Metric,113.115,-157.55,-90,top
SW1,SK12D07L4B,SK12D07VG4,131.5,-100.6535,180,top
U2,M24C02,SOIC-8_3.9x4.9mm_P1.27mm,87.275,-168.205,0,top
U3,74HC595D,SOIC-16_W3.90mm,124.5,-114.515,-90,top
U4,74HC595D,SOIC-16_W3.90mm,132.275,-114.5,-90,top
U5,74HC595D,SOIC-16_W3.90mm,91.125,-110.975,-90,top
U6,LP38693MP-5.0,SOT-223-5,87.3354,-100.5764,0,top
U7,SSP9193-33M5R,SOT-23-5,86.9036,-158.082,180,top
U8,SN74LV1T125DBVR,SOT-23-5,80.5125,-115.3125,-90,top
U9,LM393,SOIC-8_W3.9mm,108.05,-152.4,-90,top
U10,74HC02,SOIC-14_3.9x8.7mm_P1.27mm,121.365,-154,0,top
X9,Conn_4_QWIIC,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,78.45,-167.025,-90,top